,Core_replaced,cores,thread
350,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
351,"2 Core, 2 Threads",2 Core, 2 Threads
352,12 Cores (6P + 6E),12 Cores (6P + 6E),None
353,8 Core (4P + 4E),8 Core (4P + 4E),None
354,12 Cores (6P + 6E),12 Cores (6P + 6E),None
355,12 Cores (6P + 6E),12 Cores (6P + 6E),None
356,14 Cores (10P + 4E),14 Cores (10P + 4E),None
357,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
358,"4 Core, 8 Threads",4 Core, 8 Threads
359,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
360,"6 Core, 12 Threads",6 Core, 12 Threads
361,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
362,"4 Core, 8 Threads",4 Core, 8 Threads
363,"2 Core, 2 Threads",2 Core, 2 Threads
364,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
365,"8 Core, 16 Threads",8 Core, 16 Threads
366,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
367,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
368,"4 Core, 8 Threads",4 Core, 8 Threads
