,Generation,brand,gen,model,Model_Number
57,7th Gen AMD Ryzen 7 7730U,AMD,7th,Ryzen 7,7730U
58,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
59,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
60,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
61,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
62,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
63,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
64,14th Gen Intel Core i7 14700HX,Intel,14th,i7,14700HX
65,14th Gen Intel Core i9 14900HX,Intel,14th,i9,14900HX
66,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
67,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
68,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
69,Apple M3 Max,Apple,None,M3,Max
70,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
71,12th Gen Intel Core i3 1220P,Intel,12th,i3,1220P
72,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
73,13th Gen Intel Core i7 13650HX,Intel,13th,i7,13650HX
74,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
75,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
76,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
77,7th Gen AMD Ryzen 7 7730U,AMD,7th,Ryzen 7,7730U
78,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
79,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
80,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
81,11th Gen Intel Core i7 11800H,Intel,11th,i7,11800H
82,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
83,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
84,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
85,intel Celeron  N4020,intel,None,Celeron,N4020
86,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
87,11th Gen Intel Celeron N5100,Intel,11th,Celeron,N5100
88,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
89,7th Gen AMD Ryzen 5 7535HS,AMD,7th,Ryzen 5,7535HS
90,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
91,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
